Product name,SKU,URL,Image url,Price,Discount,Review count,Description,Tiki Now,Under Price,Benefit,Gift,Rating
Laptop Asus ZenBook UX425EA-BM069T (Core i5-1135G7/ 8GB LPDDR4X 3200MHz (Onboard)/ 512GB SSD M.2 PCIE G3X2/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,5540054486436,https://tiki.vn/laptop-asus-zenbook-ux425ea-bm069t-core-i5-1135g7-8gb-lpddr4x-3200mhz-onboard-512gb-ssd-m-2-pcie-g3x2-14-fhd-ips-win10-hang-chinh-hang-p72040315.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/53/cb/0a/126ddb57b0ca3a0d803c0c7a30c311ad.jpg,21329000,7%,13,"Gọn nhẹ và di chuyển dễ dàng
Laptop Asus ZenBook UX425EA-BM069T có thiết kế hoàn toàn bằng kim loại, siêu nhẹ, mỏng và gọn gang. Điều này khiến nó trở thành người bạn đồng hành lý tưởng trong những...",Yes,Yes,Yes,No,4.6
Laptop Lenovo ThinkBook 15-IML 20RW008WVN (Core i3-10110U/ 4GB DDR4 2666MHz/ 256GB M.2 2280 PCIe NVMe/ 15.6 FHD/ Dos) - Hàng Chính Hãng,1020330996551,https://tiki.vn/laptop-lenovo-thinkbook-15-iml-20rw008wvn-core-i3-10110u-4gb-ddr4-2666mhz-256gb-m-2-2280-pcie-nvme-15-6-fhd-dos-hang-chinh-hang-p58362933.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/18/16/68/0d52c6ee62613933dac49ff20349ac76.jpg,10209000,21%,5,Laptop Lenovo ThinkBook 15-IML 20RW008WVN (Core i3-10110U/ 4GB DDR4 2666MHz/ 256GB M.2 2280 PCIe NVMe/ 15.6 FHD/ Dos) - Hàng Chính Hãng sẽ đưa bạn đến với những thành công trong công việc nhờ cấu...,Yes,Yes,Yes,No,4
Laptop HP Envy 13-ba1027TU 2K0B1PA (Core i5-1135G7/ 8GB DDR4 3200MHz (Onboard)/ 256GB PCIe NVMe M.2/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng,1495313310950,https://tiki.vn/laptop-hp-envy-13-ba1027tu-2k0b1pa-core-i5-1135g7-8gb-ddr4-3200mhz-onboard-256gb-pcie-nvme-m-2-13-3-fhd-ips-win10-hang-chinh-hang-p70833240.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/58/c8/ba/1d0bde7776e2d0e90ab4972f58a997e3.jpg,21279000,7%,18,"Thiết kế nhỏ gọn tiện lợi
Laptop HP Envy 13-ba1027TU 2K0B1PA có kích thước nhỏ gọn siêu di động nhờ thiết kế viền mỏng và chế tác bằng chất liệu kim loại nguyên khối màu bạc đẹp mắt. Đây dường như là...",Yes,Yes,Yes,No,4.8
Laptop Asus VivoBook 15 A515EA-BQ489T (Core i3-1115G4/ 4GB DDR4 3200MHz Onboard/ 512GB SSD M.2 PCIE G3X4/ 15.6 FHD/ Win10) - Hàng Chính Hãng,8964918294963,https://tiki.vn/laptop-asus-vivobook-15-a515ea-bq489t-core-i3-1115g4-4gb-ddr4-3200mhz-onboard-512gb-ssd-m-2-pcie-g3x4-15-6-fhd-win10-hang-chinh-hang-p72537395.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/96/3b/14/e6c7bcb181af815f8c91a2647fb0f3b2.jpg,13039000,7%,11,"HIẾT KẾ NĂNG ĐỘNG – TRẺ TRUNG
Bước sang năm 2020, hãng Asus đã tạo lên một phong cách đột phá mới, với tâm điểm là phím “Enter” và tất nhiên dòng sản phẩm Asus VivoBook A515EA cũng không ngoại lệ. Sở...",Yes,No,Yes,No,5
Laptop Asus ZenBook UX325EA-EG079T (Core i5-1135G7/ 8GB LPDDR4X 3200MHz/ 256GB SSD M.2 PCIE G3X2/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng,5471119080354,https://tiki.vn/laptop-asus-zenbook-ux325ea-eg079t-core-i5-1135g7-8gb-lpddr4x-3200mhz-256gb-ssd-m-2-pcie-g3x2-13-3-fhd-ips-win10-hang-chinh-hang-p73136075.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/0a/c1/9c/dbbfeb98ab0ec4a2aebec8e6753b03ec.jpg,20399000,7%,9,"Thiết kế kim loại, hoàn thiện tốt
Laptop ASUS ZenBook UX325EA-EG079T có phần vỏ máy được làm từ hợp kim nhôm với logo ASUS nổi bật trên nắp máy cùng với thiết kế vòng đồng tâm đem lại cho máy vẻ bề...",Yes,No,Yes,No,4.8
Laptop Dell Latitude 3510 70233210 (Core i3-10110U/ 4GB DDR4 2667MHz (1x4GB)/ HDD 1TB 5400rpm/ 15.6 HD/ Fedora) - Hàng Chính Hãng,7645080694393,https://tiki.vn/laptop-dell-latitude-3510-70233210-core-i3-10110u-4gb-ddr4-2667mhz-1x4gb-hdd-1tb-5400rpm-15-6-hd-fedora-hang-chinh-hang-p74341518.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/76/35/4f/5fa63cc7a9114a79cc5e750d328c4408.jpg,10259000,11%,5,"Thiết kế gọn nhẹ
Laptop Dell Latitude 3510 70233210 với thiết kế gọn nhẹ, trong lượng chỉ 1.9kg phù hợp cho những đối tượng cần di chuyển nhiều nơi để làm việc, trở thành người bạn đồng hành với bạn...",Yes,Yes,Yes,No,4.2
Laptop Asus VivoBook 14 A415EA-EB360T (Core i5-1135G7/ 8GB LPDDR4x 4267MHz Onboard/ 512GB SSD M.2 PCIE G3X4/ 14 FHD/ Win10) - Hàng Chính Hãng,6598198867399,https://tiki.vn/laptop-asus-vivobook-14-a415ea-eb360t-core-i5-1135g7-8gb-lpddr4x-4267mhz-onboard-512gb-ssd-m-2-pcie-g3x4-14-fhd-win10-hang-chinh-hang-p72537158.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/02/3d/72/2550e96d8a2f7cf7935a0a2eb07aabbb.jpg,16639000,8%,13,"Màu sắc
Với màu sắc nổi bật và phím Enter viền vàng neon độc đáo, Laptop Asus VivoBook 14 A415EA-EB360T (Core i5-1135G7/ 8GB LPDDR4x 4267MHz Onboard/ 512GB SSD M.2 PCIE G3X4/ 14 FHD/ Win10) - Hàng...",Yes,Yes,Yes,No,4.5
Laptop Asus Vivobook 15 X509MA-BR337T (Pentium N5020/ 4GB DDR4/ 256GB M.2/ 15.6 HD/ Win10) - Hàng Chính Hãng,5824680040003,https://tiki.vn/laptop-asus-vivobook-15-x509ma-br337t-pentium-n5020-4gb-ddr4-256gb-m-2-15-6-hd-win10-hang-chinh-hang-p70722482.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/9a/93/0e/9d41e714d1e60d9f8ff473d41a5c2577.jpg,7889000,1%,2,"Thiết kế trang nhã
Laptop Asus VivoBook X509MA-BR337T có thiết kế trang nhã sang trọng khi được phủ một lớp màu bạc bóng bẩy, những đường nét tinh tế cao cấp đảm bảo tính thẩm mĩ cao. Trọng lượng của...",Yes,Yes,Yes,No,None
Apple Mac Mini 2020 M1 (Apple M1/ 8GB/ 512GB) - MGNT3SA/A - Hàng Chình Hãng,2842963418502,https://tiki.vn/apple-mac-mini-2020-m1-apple-m1-8gb-512gb-mgnt3sa-a-hang-chinh-hang-p73788531.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/62/2a/8c/e16f7411420479fbcd4b1c45453cf437.jpg,22999000,8%,6,"Kích thước nhỏ gọn và tối giản
Apple Mac Mini 2020 M1 là chiếc máy tính Mac nhỏ gọn nhất vừa được ra mắt của nhà Táo. Sở hữu kích thước vô cùng ấn tượng với 19.7 cm cho cả chiều rộng và chiều ngang,...",Yes,No,Yes,No,4.8
"Laptop HP 15s-du1055TU, Pentium 6405U(2.40 GHz,2MB),4GB RAM,256GB SSD,Intel Graphics,15.6""HD,Win 10 Home 64,Silver_1W7P3PA - Hàng Chính Hãng",8556543694204,https://tiki.vn/laptop-hp-15s-du1055tu-pentium-6405u-2-40-ghz-2mb-4gb-ram-256gb-ssd-intel-graphics-15-6-hd-win-10-home-64-silver_1w7p3pa-hang-chinh-hang-p77721309.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,8500000,1%,0,"Laptop HP 15s-du1055TU (1W7P3PA) gây ấn tượng với thiết kế mỏng và nhẹ, dù đây là chiếc laptop có màn hình lớn 15,6 inch. Viền màn hình siêu mỏng giúp kích thước tổng thể của máy gọn gàng hơn rất...",No,No,No,No,None
