Product name,SKU,URL,Image url,Price,Discount,Review count,Description,Tiki Now,Under Price,Benefit,Gift
Dell Inspiron 5584Y : i7-8565U | 8GB RAM | 1TB HDD + 128GB SSD | GeForce MX130 4GB | 15.6 FHD | Win10 | Silver - Hàng chính hãng,8059331874462,https://tiki.vn/dell-inspiron-5584y-i7-8565u-8gb-ram-1tb-hdd-128gb-ssd-geforce-mx130-4gb-15-6-fhd-win10-silver-hang-chinh-hang-p35855736.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,20.300.000 ₫,19%,0,"
THÔNG SỐ KỸ THUẬT






Mã sản phẩm / Model
5584Y


Bộ Vi Xử Lý / CPU
Intel Core i7 8565U (1.8GHz up to 4.6GHz)


Bộ Nhớ Trong / RAM
8GB DDR4


Ổ Cứng / HDD
1TB HDD + 128GB SSD


Màn hình / LCD
15.6...",Yes,No,No,No
"Laptop Acer Gaming Nitro 5 2021 AN515-55-72P6 NH.QBNSV.004 (Core i7-10750H/ 8GB/ 512GB SSD/ GTX 1650 4G /15.6 FHD, 144Hz/ Win10) - Hàng Chính Hãng",3118215681435,https://tiki.vn/laptop-acer-gaming-nitro-5-2021-an515-55-72p6-nh-qbnsv-004-core-i7-10750h-8gb-512gb-ssd-gtx-1650-4g-15-6-fhd-144hz-win10-hang-chinh-hang-p81504198.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/b5/5f/70/9be156332612fea4a687ea73c8e46dcf.jpg,24.149.000 ₫,7%,0,"Thiết kế mạnh mẽ chuẩn gaming
Laptop Acer Gaming Nitro 5 2021 AN515-55-72P6 NH.QBNSV.004 mang đến vẻ hầm hố, mạnh mẽ thông qua thiết kế của mình. Toàn bộ thân máy được làm bằng nhựa với tone màu đen...",Yes,No,Yes,No
"Laptop Asus TUF Gaming F15 FX506LU-HN138T (Core i7-10870H/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X2/ GTX 1660Ti 6GB GDDR6/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng",2872509099025,https://tiki.vn/laptop-asus-tuf-gaming-f15-fx506lu-hn138t-core-i7-10870h-8gb-ddr4-3200mhz-512gb-ssd-m-2-pcie-g3x2-gtx-1660ti-6gb-gddr6-15-6-fhd-ips-144hz-win10-hang-chinh-hang-p75540710.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/26/8c/10/c7b674f195408732822d62964add8ed5.jpg,28.739.000 ₫,7%,0,"
Chiếc laptop đẳng cấp chiến binh
Được trang bị với độ bền phù hợp với các tác vụ thực tế và chơi game, ASUS TUF Gaming F15 FX506LU-HN138T là laptop gaming chạy Windows 10 Home có thể giúp bạn giành...",Yes,No,Yes,No
"Laptop MSI GE75 Raider 10SFS-270VN (Core i9-10980HK/ 16GB (8GB x2) DDR4 3200MHz/ HDD 1TB 7200rpm + 512GB SSD PCIE G3X4/ RTX 2070 Super 8GB GDDR6/ 17.3 FHD IPS, 240Hz, 3ms/ Win10) - Hàng Chính Hãng",5969383700163,https://tiki.vn/laptop-msi-ge75-raider-10sfs-270vn-core-i9-10980hk-16gb-8gb-x2-ddr4-3200mhz-hdd-1tb-7200rpm-512gb-ssd-pcie-g3x4-rtx-2070-super-8gb-gddr6-17-3-fhd-ips-240hz-3ms-win10-hang-chinh-hang-p77710886.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/c4/37/d3/d4946410a6391b81b1897bcec10ce669.jpg,63.559.000 ₫,5%,0,"Thiết kế độc đáo
Phong cách được thiết kế theo lối mạnh mẽ, hầm hố nhưng cũng không kém đi phần tinh tế và thẩm mỹ. Được phủ lên cho mình tông đen huyền bí càng làm cho Laptop MSI GE75 Raider...",Yes,Yes,Yes,No
Laptop Acer Aspire E5 576G 52YQ (NX.GWNSV.001). Intel Core I5 8250U - Hàng Nhập Khẩu,5666062077517,https://tiki.vn/laptop-acer-aspire-e5-576g-52yq-nx-gwnsv-001-intel-core-i5-8250u-hang-nhap-khau-p73574575.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/32/64/14/3fde14f76e05912e8fc1c68abf4dd07d.jpg,10.990.000 ₫,15%,0,"Thiết kế đẹp mắt
Mang một thiết kế phổ thông của laptop Acer, Aspire E5 576G 52YQ i5 8250U mang đến một cảm giác chắc chắn và cứng cáp. Máy cũng không quá nặng với trọng lượng 2.23 kg, thuận tiện cho...",No,No,No,No
Microsoft Surface Pro 6-(2018) - Core i5-8250U/8G/256GB  (KJT-00001) - Platinum - Hàng Nhập Khẩu (Latop) ,2086309221634,https://tiki.vn/microsoft-surface-pro-6-2018-core-i5-8250u-8g-256gb-kjt-00001-platinum-hang-nhap-khau-latop-p50028403.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,25.500.000 ₫,9%,0,"
Nâng tầm sức mạnh
Microsoft Surface Pro 2018 là một kiệt tác đầy tính sáng tạo, vượt ra khỏi những khuôn khổ của một chiếc laptop. Bước sang thế hệ thứ 6, với những cải tiến mạnh mẽ về sức mạnh...",No,No,No,No
Laptop Lenovo ideapad 3-15IIL05 Core i5-1035G1 / 12GB / 256GB / 15.6 inch Touch Screen - Hàng Nhâp Khẩu Mỹ,2250640331550,https://tiki.vn/laptop-lenovo-ideapad-3-15iil05-core-i5-1035g1-12gb-256gb-15-6-inch-touch-screen-hang-nhap-khau-my-p84574358.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/8c/45/b8/5538852acabc739e6599654a41094cd4.jpeg,16.950.000 ₫,15%,0,"
CPU: Intel Core i5-1035G1 Processor (6M Cache, up to 3.60 GHz)
RAM:   12GB  DDR4, 2666 MHz
Ổ cứng: 256G SSD  M.2 PCIe 2280
Màn hình: 15.6 inch, HD TN, Cảm ứng
Đồ họa: Intel UHD Graphics for 10th Gen...",No,No,No,No
Laptop Avita Liber V14 NS14A8VNF561-SGB (Core i5-10210U / 8GB DDR4 2400MHz/ 512GB SSD M.2 SATA/ 14 FHD/ Win10) - Hàng Chính Hãng,8218470705208,https://tiki.vn/laptop-avita-liber-v14-ns14a8vnf561-sgb-core-i5-10210u-8gb-ddr4-2400mhz-512gb-ssd-m-2-sata-14-fhd-win10-hang-chinh-hang-p73808530.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/88/92/16/2623ae298042b732972b1f56786ccee9.jpg,16.079.000 ₫,5%,0,"Thiết kế thanh lịch, trang nhã
Laptop Avita Liber V14 NS14A8VNF561-SGB mang trên mình một sự trang nhã trong thiết kế, với trọng lượng 1.3kg và kích thước 31.8 x 21.8 x 1.59 cm khiến chiếc laptop này...",Yes,Yes,Yes,No
Laptop Asus ExpertBook P2451FA-EK1620T (Core i5-10210U/ 8GB DDR4 2666MHz SDRAM/ 512GB PCIe Gen3 x2 SSD M.2/ 14 FHD/ Win10) - Hàng Chính Hãng,5623265314002,https://tiki.vn/laptop-asus-expertbook-p2451fa-ek1620t-core-i5-10210u-8gb-ddr4-2666mhz-sdram-512gb-pcie-gen3-x2-ssd-m-2-14-fhd-win10-hang-chinh-hang-p82482203.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/28/10/cb/f42bacb707b8be49f719f385ae4e392d.jpg,16.699.000 ₫,7%,0,"Thiết kế theo kiến trúc tối giản, bền bỉ, thanh lịch
Các nhà thiết kế của Asus đã lấy cảm hứng từ kiến ​​trúc tối giản, mang đến cho chiếc Laptop Asus ExpertBook P2451FA-EK1620T những đường nét mạnh...",Yes,No,Yes,No
"Laptop MSI GS66 Stealth 10SE-407VN (Core i7-10750H/ 16GB (8GBx2) DDR4 3200MHz/ 512GB SSD PCIE G3X4/ RTX 2060 6GB GDDR6/ 15.6 FHD IPS, 240Hz, 3ms/ Win10) - Hàng Chính Hãng",4686656192663,https://tiki.vn/laptop-msi-gs66-stealth-10se-407vn-core-i7-10750h-16gb-8gbx2-ddr4-3200mhz-512gb-ssd-pcie-g3x4-rtx-2060-6gb-gddr6-15-6-fhd-ips-240hz-3ms-win10-hang-chinh-hang-p73164409.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/cb/32/b4/b237dc44a94d0b9fceee7a7de3b617fe.jpg,44.509.000 ₫,5%,1,"Thiết kế tinh xảo
Laptop MSI GS66 Stealth 10SE-407VN với logo khắc laser, chiếc GS66 Stealth nay trông sắc sảo và mảnh mai hơn nhờ thiết Core Black bề mặt vân nhám, phá vỡ kiểu cách truyền thống của...",Yes,Yes,Yes,No
