Image url,Product name,Price after discount,Discount,Review count,sku,description,URL
https://salt.tikicdn.com/cache/280x280/ts/product/07/e0/0e/74c646f278ba70fc6c28b8781e30abc3.jpg,Laptop Asus Vivobook X515MA-BR112T (N4020/ 4G/ 256GB SSD/ 15.6 HD/ Win10) - Hàng Chính Hãng,6.859.000 ₫,3%,5,5519363528126,"Thiết kế mỏng nhẹ
Laptop Asus Vivobook X515MA-BR112T là chiếc laptop hướng đến mọi người như các bạn học sinh, sinh viên và dân văn phòng, với hiệu năng xử lý ổn định và thiết kế đẹp mắt sẵn sáng đáp...",https://tiki.vn/laptop-asus-vivobook-x515ma-br112t-n4020-4g-256gb-ssd-15-6-hd-win10-hang-chinh-hang-p77694498.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/58/c8/ba/1d0bde7776e2d0e90ab4972f58a997e3.jpg,Laptop HP Envy 13-ba1027TU 2K0B1PA (Core i5-1135G7/ 8GB DDR4 3200MHz (Onboard)/ 256GB PCIe NVMe M.2/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng,21.279.000 ₫,7%,18,1495313310950,"Thiết kế nhỏ gọn tiện lợi
Laptop HP Envy 13-ba1027TU 2K0B1PA có kích thước nhỏ gọn siêu di động nhờ thiết kế viền mỏng và chế tác bằng chất liệu kim loại nguyên khối màu bạc đẹp mắt. Đây dường như là...",https://tiki.vn/laptop-hp-envy-13-ba1027tu-2k0b1pa-core-i5-1135g7-8gb-ddr4-3200mhz-onboard-256gb-pcie-nvme-m-2-13-3-fhd-ips-win10-hang-chinh-hang-p70833240.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/18/16/68/0d52c6ee62613933dac49ff20349ac76.jpg,Laptop Lenovo ThinkBook 15-IML 20RW008WVN (Core i3-10110U/ 4GB DDR4 2666MHz/ 256GB M.2 2280 PCIe NVMe/ 15.6 FHD/ Dos) - Hàng Chính Hãng,10.209.000 ₫,21%,5,1020330996551,Laptop Lenovo ThinkBook 15-IML 20RW008WVN (Core i3-10110U/ 4GB DDR4 2666MHz/ 256GB M.2 2280 PCIe NVMe/ 15.6 FHD/ Dos) - Hàng Chính Hãng sẽ đưa bạn đến với những thành công trong công việc nhờ cấu...,https://tiki.vn/laptop-lenovo-thinkbook-15-iml-20rw008wvn-core-i3-10110u-4gb-ddr4-2666mhz-256gb-m-2-2280-pcie-nvme-15-6-fhd-dos-hang-chinh-hang-p58362933.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/0a/c1/9c/dbbfeb98ab0ec4a2aebec8e6753b03ec.jpg,Laptop Asus ZenBook UX325EA-EG079T (Core i5-1135G7/ 8GB LPDDR4X 3200MHz/ 256GB SSD M.2 PCIE G3X2/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng,20.399.000 ₫,7%,9,5471119080354,"Thiết kế kim loại, hoàn thiện tốt
Laptop ASUS ZenBook UX325EA-EG079T có phần vỏ máy được làm từ hợp kim nhôm với logo ASUS nổi bật trên nắp máy cùng với thiết kế vòng đồng tâm đem lại cho máy vẻ bề...",https://tiki.vn/laptop-asus-zenbook-ux325ea-eg079t-core-i5-1135g7-8gb-lpddr4x-3200mhz-256gb-ssd-m-2-pcie-g3x2-13-3-fhd-ips-win10-hang-chinh-hang-p73136075.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/66/f6/d5/f7d29b863d75d8e149e12d0c8d896b56.jpg,Laptop HP Envy 13-ba1028TU 2K0B2PA (Core i5-1135G7/ 8GB DDR4 2666MHz (Onboard)/ 512GB PCIe NVMe/ 13.3 FHD IPS/ Win10 + Office Home & Student) - Hàng Chính Hãng,22.459.000 ₫,5%,5,5833528059213,"Thiết kế hiện đại
Laptop HP Envy 13-ba1028TU 2K0B2PA (Core i5-1135G7/ 8GB DDR4 2666MHz (Onboard)/ 512GB PCIe NVMe/ 13.3 FHD IPS/ Win10 + Office Home &amp; Student) - Hàng Chính Hãng thiết kế theo xu...",https://tiki.vn/laptop-hp-envy-13-ba1028tu-2k0b2pa-core-i5-1135g7-8gb-ddr4-2666mhz-onboard-512gb-pcie-nvme-13-3-fhd-ips-win10-office-home-student-hang-chinh-hang-p74343369.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/77/4a/ed/a64d40628452a3ac2c847d35369fada2.jpg,"Laptop Asus TUF Gaming F15 FX506LI-HN096T (Core i7-10870H/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X2/ GTX 1650Ti 4GB GDDR6/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng",25.109.000 ₫,7%,1,8481532894282,"Đẳng cấp chiến binh
Laptop Asus TUF Gaming F15 FX506LI-HN096T (Core i7-10870H/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X2/ GTX 1650Ti 4GB GDDR6/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng được...",https://tiki.vn/laptop-asus-tuf-gaming-f15-fx506li-hn096t-core-i7-10870h-8gb-ddr4-3200mhz-512gb-ssd-m-2-pcie-g3x2-gtx-1650ti-4gb-gddr6-15-6-fhd-ips-144hz-win10-hang-chinh-hang-p73164905.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/02/3d/72/2550e96d8a2f7cf7935a0a2eb07aabbb.jpg,Laptop Asus VivoBook 14 A415EA-EB360T (Core i5-1135G7/ 8GB LPDDR4x 4267MHz Onboard/ 512GB SSD M.2 PCIE G3X4/ 14 FHD/ Win10) - Hàng Chính Hãng,16.639.000 ₫,8%,13,6598198867399,"Màu sắc
Với màu sắc nổi bật và phím Enter viền vàng neon độc đáo, Laptop Asus VivoBook 14 A415EA-EB360T (Core i5-1135G7/ 8GB LPDDR4x 4267MHz Onboard/ 512GB SSD M.2 PCIE G3X4/ 14 FHD/ Win10) - Hàng...",https://tiki.vn/laptop-asus-vivobook-14-a415ea-eb360t-core-i5-1135g7-8gb-lpddr4x-4267mhz-onboard-512gb-ssd-m-2-pcie-g3x4-14-fhd-win10-hang-chinh-hang-p72537158.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/81/3a/ea/c738f3369e72eb54529e6641e72e0730.jpg,Laptop HP 15s-fq2046TU 31D94PA (Core i5-1135G7/ 8GB DDR4 2666MHz/ 256GB PCIe NVMe/ 15.6 SVA/ Win10) - Hàng Chính Hãng,14.889.000 ₫,4%,2,1924942321162,"Thiết kế đẹp mắt
Laptop HP 15s-fq2046TU 31D94PA được thiết kế với kiểu dáng đẹp mắt, với tông màu bạc sang trọng, các góc cạnh của máy được bo tròn để dễ dàng cho vào balo.
Cấu hình mượt mà
Được...",https://tiki.vn/laptop-hp-15s-fq2046tu-31d94pa-core-i5-1135g7-8gb-ddr4-2666mhz-256gb-pcie-nvme-15-6-sva-win10-hang-chinh-hang-p74342054.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/96/3b/14/e6c7bcb181af815f8c91a2647fb0f3b2.jpg,Laptop Asus VivoBook 15 A515EA-BQ489T (Core i3-1115G4/ 4GB DDR4 3200MHz Onboard/ 512GB SSD M.2 PCIE G3X4/ 15.6 FHD/ Win10) - Hàng Chính Hãng,13.039.000 ₫,7%,11,8964918294963,"HIẾT KẾ NĂNG ĐỘNG – TRẺ TRUNG
Bước sang năm 2020, hãng Asus đã tạo lên một phong cách đột phá mới, với tâm điểm là phím “Enter” và tất nhiên dòng sản phẩm Asus VivoBook A515EA cũng không ngoại lệ. Sở...",https://tiki.vn/laptop-asus-vivobook-15-a515ea-bq489t-core-i3-1115g4-4gb-ddr4-3200mhz-onboard-512gb-ssd-m-2-pcie-g3x4-15-6-fhd-win10-hang-chinh-hang-p72537395.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/76/35/4f/5fa63cc7a9114a79cc5e750d328c4408.jpg,Laptop Dell Latitude 3510 70233210 (Core i3-10110U/ 4GB DDR4 2667MHz (1x4GB)/ HDD 1TB 5400rpm/ 15.6 HD/ Fedora) - Hàng Chính Hãng,10.259.000 ₫,11%,5,7645080694393,"Thiết kế gọn nhẹ
Laptop Dell Latitude 3510 70233210 với thiết kế gọn nhẹ, trong lượng chỉ 1.9kg phù hợp cho những đối tượng cần di chuyển nhiều nơi để làm việc, trở thành người bạn đồng hành với bạn...",https://tiki.vn/laptop-dell-latitude-3510-70233210-core-i3-10110u-4gb-ddr4-2667mhz-1x4gb-hdd-1tb-5400rpm-15-6-hd-fedora-hang-chinh-hang-p74341518.html?src=ss-organic
